UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,Hoopla,MUSIC,2016,10,1,Percy Jackson And The Lightning Thief (Original Motion Picture Soundtrack),,Soundtrack,ABKCO (US),
Digital,OverDrive,EBOOK,2016,10,6,"The Lightning Thief: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 1",Rick Riordan,"Comic and Graphic Books, Juvenile Fiction",Disney Digital Books,2016
Physical,Horizon,BOOK,2016,10,25,"Percy Jackson & the Olympians. Book one, The lightning thief : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by José Villarrubia ; layouts by Orpheus Collar ; lettering by Chris Dickey.","Riordan, Rick","Mythology Greek Comic books strips etc, Camps Comic books strips etc, Friendship Comic books strips etc, Fathers and sons Comic books strips etc, Poseidon Greek deity Comic books strips etc, Hades Greek deity Comic books strips etc, Zeus Greek deity Comic books strips etc, Cartoons and comics, Graphic novels, Fantasy comic books strips etc","Disney/Hyperion Books,",2010.
Digital,OverDrive,EBOOK,2016,10,13,"The Lightning Thief: Percy Jackson and the Olympians Series, Book 1",Rick Riordan,"Fantasy, Juvenile Fiction, Mythology",Disney Digital Books,2011
Physical,Horizon,SOUNDDISC,2016,10,4,Percy Jackson & the Olympians [sound recording] : the demigod files / Rick Riordan.,"Riordan, Rick","Mythology Greek Juvenile fiction, Monsters Juvenile fiction, Animals Mythical Juvenile fiction, Fantasy","Listening Library,",p 2009.
Physical,Horizon,BOOK,2016,10,31,"Percy Jackson & the Olympians. Book three, The Titan's curse : the graphic novel / by Rick Riordan ; adapted by Robert Venditti ; art by Attila Futaki ; color by Gregory Guilhaumond ; lettering by Chris Dickey.","Riordan, Rick","Mythology Greek Comic books strips etc, Artemis Greek deity Comic books strips etc, Animals Mythical, Monsters Comic books strips etc, Titans Mythology v Comic books strips etc, Mythology Greek Juvenile fiction, Artemis Greek deity Juvenile fiction, Animals Mythical Juvenile fiction, Monsters Juvenile fiction, Titans Mythology Juvenile fiction, Cartoons and comics, Graphic novels","Disney/Hyperion Books,",2013.
Digital,OverDrive,EBOOK,2016,10,5,"The Son of Sobek: Percy Jackson & The Kane Chronicles Crossover Series, Book 1",Rick Riordan,"Fantasy, Juvenile Fiction, Mythology, Short Stories",Disney Digital Books,2015
Digital,OverDrive,EBOOK,2016,10,4,Demigods and Monsters: Your Favorite Authors on Rick Riordan's Percy Jackson and the Olympians Series,Rick Riordan,"Juvenile Nonfiction, Literary Criticism",Perseus Books Group,2013
Digital,OverDrive,EBOOK,2016,10,7,"The Battle of the Labyrinth: Percy Jackson and the Olympians Series, Book 4",Rick Riordan,"Mythology, Young Adult Fiction",Disney Digital Books,2011
Digital,OverDrive,EBOOK,2016,10,2,"The Titan's Curse: The Graphic Novel: Percy Jackson and the Olympians Graphic Novel Series, Book 3",Rick Riordan,"Comic and Graphic Books, Mythology, Young Adult Fiction",Disney Digital Books,2016
