song,artist,name,knowledge,year,year_dec
Dilemma,Nelly,J,don't know it,2002,2000
Promiscuous,Nelly Furtado,J,don't know it,2006,2000
Party Like A Rockstar,Shop Boyz,J,don't know it,2007,2000
Turn Me On,Kevin Lyttle,J,don't know it,2004,2000
"Maria, Maria",Santana,J,don't know it,2000,2000
Birthday Sex,Jeremih,J,don't know it,2009,2000
Check On It,Beyonce,J,don't know it,2006,2000
Rock Wit U,Ashanti,J,don't know it,2003,2000
Foolish,Ashanti,J,don't know it,2002,2000
What Goes Around...Comes Around,Justin Timberlake,J,don't know it,2007,2000
Try Again,Aaliyah,J,don't know it,2000,2000
The Way I Are,Timbaland Featuring Keri Hilson,J,don't know it,2007,2000
Lose My Breath,Destiny's Child,J,don't know it,2004,2000
Like You,Bow Wow,J,don't know it,2005,2000
Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",J,don't know it,2009,2000
I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,J,don't know it,2011,2010
FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,J,don't know it,2015,2010
My Way,Usher,J,don't know it,1998,1990
My All,Mariah Carey,J,don't know it,1998,1990
Sometimes Love Just Ain't Enough,Patty Smyth,J,don't know it,1992,1990
Hero,Mariah Carey,J,don't know it,1993,1990
You Make Me Wanna..,Usher,J,don't know it,1997,1990
The Power Of Love,Celine Dion,J,don't know it,1994,1990
I Still Believe,Mariah Carey,J,don't know it,1999,1990
Knockin' Da Boots,H-Town,J,don't know it,1993,1990
Total Eclipse Of The Heart,Nicki French,J,don't know it,1995,1990
Wild Night,John Mellencamp,J,don't know it,1994,1990
Let's Ride,Montell Jordan,J,don't know it,1998,1990
If Wishes Came True,Sweet Sensation,J,don't know it,1990,1990
I Love Your Smile,Shanice,J,don't know it,1992,1990
How Can We Be Lovers,Michael Bolton,J,don't know it,1990,1990
Mouth,Merril Bainbridge,J,don't know it,1996,1990
Where My Girls At?,702,J,don't know it,1999,1990
How Do You Talk To An Angel,"Heights, The",J,don't know it,1992,1990
Runaway,Janet Jackson,J,don't know it,1995,1990
You Remind Me Of Something,R. Kelly,J,don't know it,1995,1990
It's All Coming Back To Me Now,Celine Dion,J,don't know it,1996,1990
One Sweet Day,Mariah Carey,J,don't know it,1995,1990
Angel Of Mine,Monica,J,don't know it,1999,1990
Un-Break My Heart,Toni Braxton,J,don't know it,1996,1990
Love Will Never Do,Janet Jackson,J,don't know it,1991,1990
Take A Bow,Madonna,J,don't know it,1995,1990
She's All I Ever Had,Ricky Martin,J,don't know it,1999,1990
My Body,LSG,J,don't know it,1997,1990
I've Never Been To Me,Charlene,J,don't know it,1982,1980
